OPNSFTEAMCODE,MGTNO,APVPERMYMD,APVCANCELYMD,TRDSTATEGBN,TRDSTATENM,DTLSTATEGBN,DTLSTATENM,DCBYMD,CLGSTDT,CLGENDDT,ROPNYMD,SITETEL,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,RDNPOSTNO,BPLCNM,LASTMODTS,UPDATEGBN,UPDATEDT,UPTAENM,X,Y,CULPHYEDCOBNM,CULWRKRSENM,REGNSENM,TOTNUMLAY,NEARENVNM,MNFACTREARTCLCN,INSURORGNM,BDNGSRVNM,JISGNUMLAY,UNDERNUMLAY,STROOMCNT,CNSTYAREA,ENGSTNTRNMNM,ENGSTNTRNMADDR,SHPTOTTONS,SHPCNT,SHPINFO,STAGEAR,CHAIRCNT,SVNSR,MEETSAMTIMESYGSTF,FACILAR,PLAYUTSCNTDTL,PLAYFACILCNT,BCFACILEN,GEICPFACILEN,DISPENEN,INFOBEN,PLNINSURSTDT,PLNINSURENDDT,CAPT,INSURSTDT,INSURENDDT,AFC,FACILSCP,TRSTLODGCLNM
3130000,CDFI2260031979000001,1979-08-02,,01,영업/정상,13,영업중,,,,,02-717-9441,,,서울특별시 마포구 도화동 169-1,"서울특별시 마포구 마포대로 58 (도화동, 가든호텔)",04168,(주)서울가든,2025-12-16 08:50:00,U,2025-12-18 02:40:00.0,,195366.504486477,448716.823596557,관광숙박업,관광사업,,17,,,372실,,15,2,372,26310,SEOUL GARDEN Corp.,Tourist Hotel,0,0,,0,0,,0,26310.01,,0,,,,,,,0,,,,26310,관광호텔업
3130000,CDFI2260031999000001,1999-07-26,,03,폐업,03,폐업,2004-04-22,,,,332-1122,,121-885,서울특별시 마포구 합정동 381-17번지,,,서서울관광호텔,2004-04-23 16:23:24,I,2018-08-31 23:59:59.0,,,,관광숙박업,관광사업,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,
3130000,CDFI2260032001000001,2001-05-11,,03,폐업,03,폐업,2020-11-27,,,,3143-4595,,,서울특별시 마포구 서교동 377-1,"서울특별시 마포구 잔다리로 67 (서교동, 유양관광호텔)",04034,호텔야자,2020-11-27 10:05:47,U,2020-11-29 02:40:00.0,,192584.698023412,450151.420026822,관광숙박업,관광사업,일반주거지역,6,,,"42실,동부화재손해보험",호텔,5,1,42,2017,HOTEL YAJA,TOURIST HOTEL,0,0,,0,0,,0,1504.56,,0,,,,,,,0,,,,1505,관광호텔업
3130000,CDFI2260032004000001,2004-04-13,,03,폐업,03,폐업,2017-11-30,,,,330-7777,,121-838,서울특별시 마포구 서교동 354-5번지,서울특별시 마포구 양화로 130 (서교동),,(주)아주호텔서교,2017-12-01 09:12:27,I,2018-08-31 23:59:59.0,,192971.947727746,450243.232547428,관광숙박업,관광사업,,0,,,,,0,0,135,0,"Aju Hotel Seokyo Co., LTD.",TOURIST HOTEL,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,관광호텔업
3130000,CDFI2260032005000001,2005-07-14,,01,영업/정상,13,영업중,,,,,338-0018,,,서울특별시 마포구 합정동 382-17번지,"서울특별시 마포구 양화로 15 (합정동, 호텔써클)",04027,써클호텔,2018-02-21 10:20:32,I,2018-08-31 23:59:59.0,,192044.052062349,449625.190175398,관광숙박업,관광사업,일반상업지역,12,,,40실,호텔,9,3,40,2017,CIRCLE HOTEL,TOURIST HOTEL,0,0,,0,0,,0,1504.56,,0,,,,,,,0,,,,1505,관광호텔업
3130000,CDFI2260032009000001,2009-03-09,,01,영업/정상,13,영업중,,,,,02-6009-1000,,,서울특별시 마포구 공덕동 467 롯데캐슬프레지던트,"서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트)",04146,(주)호텔롯데 롯데시티 호텔마포,2025-08-11 12:38:40,U,2025-08-13 02:40:00.0,,195564.375757848,449186.933273231,관광숙박업,,상업지역,10,,,284실,호텔,8,2,284,153615,"HOTEL LOTTE CO., LTD. LOTTE CITY HOTEL MAPO",TOURIST ACCOMMODATION(TOURIST HOTEL),0,0,,0,0,,0,25713.7,,0,,,,,,,508050014000,,,,25714,관광호텔업
3130000,CDFI2260032011000001,2011-10-11,,01,영업/정상,13,영업중,,,,,6016-0001,,,서울특별시 마포구 상암동 1587,"서울특별시 마포구 월드컵북로58길 15 (상암동, 스탠포드호텔코리아)",03922,스탠포드호텔코리아(주) 스탠포드호텔서울,2025-09-22 14:35:18,U,2025-09-24 02:40:00.0,,189919.550051873,453342.222208599,관광숙박업,,상업지역,17,,,239실,호텔,12,5,239,26278,STANFORD HOTEL SEOUL,TOURIST HOTEL,0,0,,0,0,,0,26278.31,,0,,,,,,,1637959940,,,,26278,관광호텔업
3130000,CDFI2260032012000001,2012-03-08,,03,폐업,03,폐업,2018-02-26,,,,6220-4000,,121-807,서울특별시 마포구 노고산동 57-26번지,서울특별시 마포구 서강로 137 (노고산동),04058,까사빌 신촌 서울,2018-02-26 15:17:05,I,2018-08-31 23:59:59.0,,194237.345664459,450263.50766141,관광숙박업,,상업지역,20,,,"3층~14층영업중,183실",숙박시설,14,0,183,12883,CasaVille Shinchon Seoul,TOURIST ACCOMMODATION (FAMILY HOTEL),0,0,,0,0,,0,4123.05,,0,,,,,,,2000000000,,,,4123,가족호텔업
3130000,CDFI2260032012000002,2012-10-18,,03,폐업,03,폐업,2022-02-08,,,,336-0001,,121-843,서울특별시 마포구 성산동 52-12,서울특별시 마포구 월드컵북로 120 (성산동),03972,더 엠 호텔,2022-02-08 16:58:56,U,2022-02-10 02:40:00.0,,192282.955607289,451304.996932629,관광숙박업,,일반주거지역,12,기타,,56실,호텔,10,2,56,3052,THE M HOTEL,Tourists Accommodation(Family Hotel),0,0,,0,0,,0,3043.28,,0,,,,,,,3000000000,,,,3043,가족호텔업
3130000,CDFI2260032013000001,2013-02-05,,03,폐업,03,폐업,2022-07-06,,,,332-5656,,121-893,서울특별시 마포구 서교동 371-10,서울특별시 마포구 양화로 112 (서교동),04038,메리골드호텔,2022-07-06 11:31:14,U,2022-07-12 02:40:00.0,,192839.116937246,450119.061832193,관광숙박업,,일반상업지역,14,,,186실,호텔,10,4,186,14252,MARIGOLD HOTEL,TOURIST HOTEL,0,0,,0,0,,0,14252.1,,0,,,,,,,60000002000,,,,14252,관광호텔업
3130000,CDFI2260032013000002,2013-02-05,,01,영업/정상,13,영업중,,,,,326-5801,,121-893,서울특별시 마포구 서교동 373-9,서울특별시 마포구 양화로 86 (서교동),04043,호텔 더 디자이너스 홍대,2023-08-31 17:11:32,U,2023-09-02 02:40:00.0,,192647.075671686,449962.851191072,관광숙박업,,준주거지역,18,,,80실,호텔,15,3,80,3868,HOTEL THE DESIGNERS HONGDAE,TOURIST HOTEL,0,0,,0,0,,0,3868,,0,,,,,,,21749999600,,,,3868,관광호텔업
3130000,CDFI2260032014000001,2014-10-30,,01,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 동교동 198-30 홍대LJ빌딩,"서울특별시 마포구 동교로 217, 홍대LJ빌딩 2층~4층 (동교동)",03993,필로소퍼,2023-09-01 10:34:00,U,2023-09-03 02:40:00.0,,193173.291498782,450805.577656258,관광숙박업,,일반주거지역,5,기타,,17실,숙박시설,4,1,17,377,PILLOWSOPHER,Hostel,0,0,,0,0,,0,377.33,,0,,,,,,,200000000,,,,377,호스텔업
3130000,CDFI2260032014000002,2014-12-10,,01,영업/정상,13,영업중,,,,,332-2333,,121-210,서울특별시 마포구 서교동 351-29,서울특별시 마포구 동교로 162-7 (서교동),04031,더휴식 아늑 홍대점,2022-08-22 20:18:35,U,2022-08-24 02:40:00.0,,192893.333078404,450367.063858996,관광숙박업,,근린상업지역,12,기타,,38실,숙박시설,9,3,38,1256,Hotel The Ore,Tourist Hotel,0,0,,0,0,,0,1255.7,,0,,,,,,,1544000000,,,,1256,관광호텔업
3130000,CDFI2260032015000001,2015-08-26,,01,영업/정상,13,영업중,,,,,69799000,,,서울특별시 마포구 도화동 570번지,서울특별시 마포구 마포대로 83 (도화동),04156,신라스테이 마포,2018-02-08 18:24:33,I,2018-08-31 23:59:59.0,,195484.919869451,448958.582313523,관광숙박업,,일반상업지역,28,,,383실,숙박시설,24,4,383,18470,Shiila Stay Mapo,Tourist Hotel,0,0,,0,0,,0,18470.19,,0,,,,,,,988999970000,,,,18470,관광호텔업
3130000,CDFI2260032016000001,2016-05-27,,03,폐업,03,폐업,2020-09-29,,,,,,,서울특별시 마포구 망원동 405-27,서울특별시 마포구 희우정로16길 31 (망원동),04008,Alveolus(앨비어러스),2020-10-05 14:07:43,U,2020-10-07 02:40:00.0,,191415.339342271,450275.024623503,관광숙박업,,일반주거지역,2,,,1실,기타,1,1,1,62,Alveolus,Hostel,0,0,,0,0,,0,72.56,,0,,,,,,,30000000,,,,73,호스텔업
3130000,CDFI2260032016000002,2016-06-07,,01,영업/정상,13,영업중,,,,,02-332-0061,,,서울특별시 마포구 서교동 447-1,서울특별시 마포구 월드컵북로 31 (서교동),04001,아만티 호텔 서울,2026-01-16 13:38:42,U,2026-01-18 02:40:00.0,,192736.935397287,450550.232656274,관광숙박업,,일반주거지역,19,주택가주변,,150,호텔,14,5,150,18411,Amanti Hotel Seoul,TOURIST ACCOMMODATION(TOURIST HOTEL),0,0,,0,0,,0,18410.72,,0,,,,,,,50000000,,,,18411,관광호텔업
3130000,CDFI2260032016000003,2016-09-06,,03,폐업,03,폐업,2022-02-09,,,,02  323 9220,,,서울특별시 마포구 서교동 463-1,서울특별시 마포구 동교로 142-13 (서교동),04030,NEO SEOUL,2022-02-11 10:30:27,U,2022-02-13 02:40:00.0,,192696.777446115,450265.462973201,관광숙박업,,일반주거지역,4,,,18,숙박시설,3,1,18,654,NEO SEOUL,Hostel,0,0,,0,0,,0,654.2,,0,,,,,,,3000000000,,,,654,호스텔업
3130000,CDFI2260032016000004,2016-09-06,,03,폐업,03,폐업,2022-01-27,,,,02-715-6000,,,서울특별시 마포구 신정동 98-1,서울특별시 마포구 서강로 19 (신정동),04080,케이호스텔,2022-01-27 18:57:02,U,2022-01-29 02:40:00.0,,193739.315165771,449217.82970806,관광숙박업,,일반주거지역,14,,,"현대해상 화재보험,27실",숙박시설,12,2,27,1473,K Hostel,Hotel,0,0,,0,0,,0,976.4,,0,,,,,,,0,,,,976,호스텔업
3130000,CDFI2260032016000005,2016-10-17,,01,영업/정상,13,영업중,,,,,02  363 3941,,,서울특별시 마포구 동교동 155-30번지,서울특별시 마포구 양화로 177-1 (동교동),03994,나비호스텔,2019-01-15 14:27:33,U,2019-01-17 02:40:00.0,,193279.38663668,450637.276776739,관광숙박업,,근린상업지역,11,,,27실,숙박시설,10,1,27,993,Nabi Hostel,Hostel,0,0,,0,0,,0,992.59,,0,,,,,,,8000000000,,,,993,호스텔업
3130000,CDFI2260032017000001,2017-02-21,,01,영업/정상,13,영업중,,,,,02-3141-8800,,,서울특별시 마포구 서교동 354-10,"서울특별시 마포구 홍익로5길 32 (서교동, 나인브릭)",04038,나인브릭,2026-03-16 21:07:39,U,2026-03-18 02:40:00.0,,192911.642624498,450171.317352359,관광숙박업,,근린상업지역,18,학교정화(상대),,94실(200명),,16,2,94,3784,9BRICK,TOURIST ACCOMMODATION(TOURIST HOTEL),0,0,,0,0,,0,3784.07,,0,,,,,,,17999999000,,,,3784,관광호텔업
3130000,CDFI2260032017000002,2017-06-30,,01,영업/정상,13,영업중,,,,,0505-068-7207,,,서울특별시 마포구 노고산동 1-74,서울특별시 마포구 신촌로 152 (노고산동),04104,에이치에비뉴 호텔 이대점,2025-09-12 11:44:16,U,2025-09-14 02:40:00.0,,194856.148175113,450442.424814188,관광숙박업,,일반주거지역,15,,,94실,호텔,13,2,94,2773,H-AVENUE Hotel,Tourist Hotel,0,0,,0,0,,0,2772.94,,0,,,,,,,0,,,,2773,관광호텔업
