"TRDAR_NO"|"TRDAR_NM"|"SIGNGU_CD"|"SIGNGU_NM"|"GRFA_SM"|"RSDNTL_BULD_GRFA"|"RSDNTL_BULD_EXCL_GRFA"|"MOAV_STPRD_FRNR_LVLH_POPNO"|"ZERO_TIZN_STPRD_FRNR_LVLH_POPNO"|"ONE_TIZN_STPRD_FRNR_LVLH_POPNO"|"TWO_TIZN_STPRD_FRNR_LVLH_POPNO"|"THREE_TIZN_STPRD_FRNR_LVLH_POPNO"|"FOUR_TIZN_STPRD_FRNR_LVLH_POPNO"|"FIVE_TIZN_STPRD_FRNR_LVLH_POPNO"|"SIX_TIZN_STPRD_FRNR_LVLH_POPNO"|"SEVEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"EIGHT_TIZN_STPRD_FRNR_LVLH_POPNO"|"NINE_TIZN_STPRD_FRNR_LVLH_POPNO"|"TEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"ELEVEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"TLV_TIZN_STPRD_FRNR_LVLH_POPNO"|"THIRTEEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"FOURTEEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"FFTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"SXTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"SVNTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"EGHTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"NNTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"TWNT_TIZN_STPRD_FRNR_LVLH_POPNO"|"TNONE_TIZN_STPRD_FRNR_LVLH_POPNO"|"TNTT_TIZN_STPRD_FRNR_LVLH_POPNO"|"TNTTH_TIZN_STPRD_FRNR_LVLH_POPNO"|"MOAV_STPRD_FRNR_VST_POPNO"|"ZERO_TIZN_STPRD_FRNR_VST_POPNO"|"ONE_TIZN_STPRD_FRNR_VST_POPNO"|"TWO_TIZN_STPRD_FRNR_VST_POPNO"|"THREE_TIZN_STPRD_FRNR_VST_POPNO"|"FOUR_TIZN_STPRD_FRNR_VST_POPNO"|"FIVE_TIZN_STPRD_FRNR_VST_POPNO"|"SIX_TIZN_STPRD_FRNR_VST_POPNO"|"SEVEN_TIZN_STPRD_FRNR_VST_POPNO"|"EIGHT_TIZN_STPRD_FRNR_VST_POPNO"|"NINE_TIZN_STPRD_FRNR_VST_POPNO"|"TEN_TIZN_STPRD_FRNR_VST_POPNO"|"ELEVEN_TIZN_STPRD_FRNR_VST_POPNO"|"TLV_TIZN_STPRD_FRNR_VST_POPNO"|"THIRTEEN_TIZN_STPRD_FRNR_VST_POPNO"|"FOURTEEN_TIZN_STPRD_FRNR_VST_POPNO"|"FFTN_TIZN_STPRD_FRNR_VST_POPNO"|"SXTN_TIZN_STPRD_FRNR_VST_POPNO"|"SVNTN_TIZN_STPRD_FRNR_VST_POPNO"|"EGHTN_TIZN_STPRD_FRNR_VST_POPNO"|"NNTN_TIZN_STPRD_FRNR_VST_POPNO"|"TWNT_TIZN_STPRD_FRNR_VST_POPNO"|"TNONE_TIZN_STPRD_FRNR_VST_POPNO"|"TNTT_TIZN_STPRD_FRNR_VST_POPNO"|"TNTTH_TIZN_STPRD_FRNR_VST_POPNO"|"TRDAR_CRDT_CONT"|"DATA_STRD_YM"
9138|"공덕역_1"|11440|"마포구"|91537.53|0|91537.53|168.34|223.53|227.54|231.41|232.87|231.62|233.02|233.17|233.4|232.73|215.9|186.76|143.44|116.64|97.6|89.83|89.37|88.72|93.58|97.94|104.49|123.24|143.02|176.04|194.3|168.34|223.53|227.54|231.41|232.87|231.62|233.02|233.17|233.4|232.73|215.9|186.76|143.44|116.64|97.6|89.83|89.37|88.72|93.58|97.94|104.49|123.24|143.02|176.04|194.3|"MULTIPOLYGON (((126.951086855113 37.5437086852164, 126.951086859651 37.5437019277656, 126.950713806821 37.5431724344966, 126.950241844008 37.5425054956529, 126.950207939657 37.5424446638808, 126.950227784505 37.5423816029052, 126.950400362538 37.5423523952227, 126.951017089272 37.5422873377628, 126.951254723532 37.5422671664938, 126.951435680685 37.5423978872721, 126.95183424353 37.5428530570445, 126.951992499562 37.5430941391721, 126.952119834779 37.5430378802387, 126.952988555478 37.5426282871827, 126.95313554003 37.5428062936012, 126.95290067361 37.5429188216565, 126.952365867726 37.5431551117931, 126.951734853352 37.5434273988447, 126.951086855113 37.5437086852164)))"|"202405"
9139|"공덕역_2"|11440|"마포구"|115040.9|0|115040.9|34.23|12.54|9.83|11.51|9.15|9.43|13.8|19.2|46.26|54.85|54.81|50.3|47.52|45.09|40.12|41.88|38.74|42.31|42.86|43.44|46.02|45.19|42.18|37.67|16.77|34.23|12.54|9.83|11.51|9.15|9.43|13.8|19.2|46.26|54.85|54.81|50.3|47.52|45.09|40.12|41.88|38.74|42.31|42.86|43.44|46.02|45.19|42.18|37.67|16.77|"MULTIPOLYGON (((126.95321229004 37.5466265375676, 126.95321229149 37.546624285085, 126.952785495355 37.5460384646006, 126.952449149461 37.5455788191051, 126.952118467027 37.5451169224956, 126.95175669607 37.5446167196405, 126.951496678336 37.5442539601847, 126.951657999971 37.5441414040094, 126.952263318435 37.5442385141142, 126.952840343679 37.544344619426, 126.953513540189 37.544471033289, 126.953802059401 37.5445161995501, 126.95389534889 37.5446175988716, 126.95432230559 37.5449488848876, 126.954469317622 37.5450953548166, 126.954449509507 37.5451043568821, 126.953897932116 37.5450050271302, 126.953917656031 37.545128921664, 126.953583737893 37.5452932183084, 126.953198884367 37.5454777655872, 126.952958351771 37.5455902913922, 126.953190132255 37.5458899664965, 126.953571703051 37.5464194551548, 126.953549032408 37.546480263022, 126.95321229004 37.5466265375676)))"|"202405"
9140|"디지털미디어시티"|11440|"마포구"|1298435.85|0|1298435.85|76.06|37.11|33.71|30.53|29.7|31.1|33.57|44.24|65.22|83.82|95.53|103.64|105.21|108.55|112.75|112.53|109.27|115.33|119.3|101.12|93.61|82.17|73.39|61.11|42.87|76.06|37.11|33.71|30.53|29.7|31.1|33.57|44.24|65.22|83.82|95.53|103.64|105.21|108.55|112.75|112.53|109.27|115.33|119.3|101.12|93.61|82.17|73.39|61.11|42.87|"MULTIPOLYGON (((126.887123962571 37.5834487598235, 126.886559600111 37.582879181081, 126.886353313886 37.5826649957641, 126.885949159448 37.5822861865679, 126.885618516995 37.5819592548544, 126.885304817276 37.5816593684842, 126.885282409189 37.5815084310382, 126.885514713391 37.5813667537259, 126.886568550105 37.5807370919913, 126.887177604582 37.5803795401341, 126.887718679535 37.5800534542514, 126.888551501296 37.5795699721839, 126.889449481186 37.5790369916523, 126.890251135024 37.5785624778216, 126.890789343272 37.5782431324587, 126.891401190748 37.5778833087786, 126.891865749284 37.5776021818306, 126.892219836864 37.5773840201219, 126.892449022503 37.5774225238111, 126.892497075891 37.5774631126095, 126.893189444432 37.5781665199089, 126.893613385738 37.5785723522958, 126.894037312244 37.5789916979414, 126.893538761419 37.5792930745513, 126.89330926999 37.5794617999306, 126.893116720479 37.5795269451335, 126.893272138458 37.5796960227872, 126.893255137545 37.5797095220358, 126.892722563527 37.5800469035039, 126.892399604097 37.5802605904155, 126.892659600627 37.5805266215319, 126.892642389776 37.5806842785345, 126.891857614315 37.5812241456925, 126.891316555513 37.5815457455651, 126.89059999946 37.5818761882582, 126.889787135491 37.5822538374225, 126.889251846003 37.5824920918824, 126.888603244258 37.5827933048252, 126.887801674849 37.5831754559714, 126.887123962571 37.5834487598235)), ((126.887123962571 37.5834487598235, 126.887124798941 37.5834496039241, 126.887116304389 37.5834518481706, 126.887123962571 37.5834487598235)))"|"202405"
9141|"마포역_1"|11440|"마포구"|216011.83|38907.18|177104.65|258.12|158.76|128.4|136.36|133.3|137.56|143.56|184.18|278.13|306.6|336.56|336.89|342.45|353.55|332.79|272.32|240.37|228.13|254.12|312.28|344.17|368.47|377.27|328.53|159.93|227.97|139.4|112.67|119.8|116.21|120.38|125.65|161.6|245.95|271.65|297.96|297.62|303.55|316.25|297.94|241.62|213.09|201.59|225.35|276.49|302.97|323.67|331.37|289.06|139.25|"MULTIPOLYGON (((126.949848889864 37.5421381698383, 126.949837574616 37.5421381649007, 126.949215582739 37.5416400926509, 126.948740597237 37.5412817367778, 126.948206234586 37.5408918174617, 126.947654905 37.5405018879865, 126.947315633864 37.5402539597656, 126.946507026634 37.539690465441, 126.945998140317 37.539307305326, 126.945480758006 37.538944411348, 126.944974692028 37.5385860254596, 126.944595850755 37.5383200505552, 126.944912853434 37.5380656715895, 126.945175788465 37.5382392384519, 126.945639919125 37.5379308677797, 126.9460017885 37.5381990838826, 126.946154459901 37.5383027697373, 126.946227877517 37.5384762454831, 126.946601356337 37.53834802758, 126.946655082937 37.5383728298351, 126.946717065417 37.5387129839503, 126.946697244903 37.5387400046085, 126.94644547059 37.5387691700894, 126.946335180035 37.5387308264755, 126.946270047391 37.5388299054893, 126.946105920377 37.5389154232613, 126.946532798545 37.5392625051074, 126.946617690938 37.5392197472677, 126.94677319562 37.5393211811332, 126.946792917751 37.5394293095712, 126.947610440701 37.5393936448152, 126.947565492137 37.5389611470432, 126.947528997723 37.538573702801, 126.947588408035 37.5385624674433, 126.947953247898 37.5386459750325, 126.948162523804 37.5387113916123, 126.948400134729 37.538709245951, 126.948725434795 37.5387071389375, 126.948748127573 37.5386170496064, 126.948722382803 37.5390247381123, 126.948750492459 37.5392770290688, 126.948815336053 37.5395856485075, 126.948767015266 37.5399167423941, 126.948815029335 37.5400226305986, 126.948650758283 37.5403131280115, 126.948500733109 37.5404572200074, 126.948862697603 37.5406218129504, 126.949397083641 37.5409801945309, 126.949727892614 37.5412078406771, 126.949725015672 37.541277666459, 126.949439165205 37.5414847697229, 126.950295857536 37.5421158391638, 126.950278846241 37.5421721439253, 126.949848889864 37.5421381698383)))"|"202405"
9142|"마포역_2"|11440|"마포구"|612827.82|146964.82|465863|573.45|686.45|727.44|730.45|738.97|734.27|729.24|679.03|584.72|553.23|551.14|571.83|633.14|677.27|739.87|594.31|397.85|323.32|318.4|350.49|409.79|406.76|432.17|506.34|685.32|529.72|620.7|657.06|659.55|667.2|662.8|658.46|614.54|533.84|508.38|511.5|536.86|601.43|645.94|707.64|569.9|377.51|304.04|298.52|328.95|384.81|379.17|399.84|463.68|621.08|"MULTIPOLYGON (((126.947814199015 37.5432207096313, 126.947805715679 37.5432162008146, 126.947254406899 37.5427767149682, 126.946923642757 37.5424882448886, 126.946969015255 37.5423350968414, 126.947249206776 37.54214376439, 126.947602986234 37.5418961526749, 126.947487079889 37.5417924855356, 126.946754866265 37.5411817256964, 126.946355823512 37.5414338187916, 126.946002043787 37.5416791743039, 126.945719356873 37.5414200056393, 126.945467689215 37.5412937475992, 126.945258457409 37.5411630042226, 126.944622254488 37.5408045550436, 126.944314080843 37.540592672921, 126.944073797108 37.5403830754332, 126.944034177422 37.5404055810569, 126.943516313214 37.5406688692612, 126.942794587407 37.5411708176606, 126.942375989027 37.5410940247775, 126.94226259452 37.5414025585297, 126.942237149697 37.54138452591, 126.941731158141 37.5409315219289, 126.941547434124 37.5407489776902, 126.941971989238 37.5404451064902, 126.942518243844 37.5400557000127, 126.94306166405 37.5396662895812, 126.943590915967 37.5393016470342, 126.943992809504 37.5390180297721, 126.9443522303 37.5387861978068, 126.944479449254 37.5388808635798, 126.94528237674 37.5394421166747, 126.946048552744 37.5399898321347, 126.946543318371 37.540348208094, 126.947029604095 37.5407043255725, 126.947637481496 37.5411303234614, 126.948118132747 37.5414684139687, 126.948692072158 37.541901148522, 126.949141619289 37.5422347159723, 126.949390420577 37.5424285394451, 126.949172513263 37.5425545824634, 126.948648994548 37.5428178905821, 126.947814199015 37.5432207096313)))"|"202405"
9143|"신촌역_1"|11440|"마포구"|213388.55|14197.13|199191.42|273.19|275.89|289.01|293.22|296|305.13|305.34|306.94|312.35|320.37|314.59|304.43|275.02|268.64|251.68|236.79|240.63|243.03|237.04|238.49|229.45|231.24|238.7|267.69|274.78|261.13|261.32|272.77|276.32|278.65|287.59|288.41|291.46|298.07|306.36|300.85|291.91|263.84|258.45|242.44|228.71|232.73|235.1|229.01|230.17|220.98|222.98|229.88|257.62|261.4|"MULTIPOLYGON (((126.936222504861 37.5551327655308, 126.932817731616 37.5563561866015, 126.932668437887 37.5556353064314, 126.93272793628 37.5555452418566, 126.934253437645 37.5549897564113, 126.933990690245 37.5545706455112, 126.933331240434 37.5548202926045, 126.933141977794 37.5544913213272, 126.934288219056 37.5540640069243, 126.933872754328 37.5535794869043, 126.934396412343 37.5533027300173, 126.934603081006 37.5531519308759, 126.936344977106 37.5541980538836, 126.937137098456 37.5542840817152, 126.937304950971 37.5532029823829, 126.938243861923 37.5536697515411, 126.939015989331 37.5539787516264, 126.938446399193 37.5550596398393, 126.939071496327 37.5552739568978, 126.938929799758 37.555550937044, 126.937716378527 37.5551313278794, 126.937416539834 37.5550523290581, 126.937088375918 37.555011606213, 126.936746026975 37.5550159242882, 126.936222504861 37.5551327655308)))"|"202405"
9144|"홍대입구역_1"|11440|"마포구"|108000.33|11351.28|96649.05|505.48|488.48|473.77|511.35|503.18|483.68|486.44|480.48|512.94|534.17|528.44|517.65|529.87|504.99|490.6|496.45|483.83|479.35|490.03|510.77|525.78|555.5|551.62|500.57|491.52|463.38|439.14|424.07|458.75|450.93|431.52|435.13|432.75|466.92|488.79|484.54|476.59|490.37|468.06|456.36|462.72|451.11|447.31|456.98|475.84|489.94|516.96|511.25|460.04|445|"MULTIPOLYGON (((126.917547497767 37.554037541561, 126.917550337118 37.554028533657, 126.918031777795 37.5536099131743, 126.918249834708 37.5534253635141, 126.917834281345 37.5531164804536, 126.918072164394 37.5529116728077, 126.918174006205 37.5529207545327, 126.918894856027 37.5534663604769, 126.919443284439 37.5538721887034, 126.919966274978 37.5542599769832, 126.920353575078 37.5545463083067, 126.920780461521 37.5548574426499, 126.921224300797 37.5551933642184, 126.921241204265 37.5552609500763, 126.920895709148 37.5555580423833, 126.920547386824 37.5558506267693, 126.920414384009 37.5558730604417, 126.92003538606 37.5557511660885, 126.919616781325 37.5556269906198, 126.9193735289 37.5555637525159, 126.919325442846 37.5555524567147, 126.919130450163 37.5553428404732, 126.919014758335 37.5550611998979, 126.918918842613 37.5548066027636, 126.918590871813 37.5546013976291, 126.918223308 37.5543826488233, 126.917889684949 37.5541751852678, 126.917547497767 37.554037541561)))"|"202405"
9145|"홍대입구역_2"|11440|"마포구"|71356.47|11298.19|60058.28|248.64|297.03|321.05|328.86|338.08|332.45|336.73|321.23|291.58|274.72|255.09|227|206.57|198.64|203.79|184.79|179.06|185.29|172.5|183.1|201.65|210.95|225.57|227.62|264.09|209.28|250.02|270.23|276.81|284.57|279.83|283.43|270.38|245.42|231.23|214.71|191.07|173.87|167.19|171.52|155.53|150.71|155.95|145.19|154.11|169.72|177.55|189.87|191.59|222.29|"MULTIPOLYGON (((126.918989448392 37.5574916071601, 126.918992275303 37.5574938616111, 126.91968892994 37.5569222160271, 126.91998346361 37.5566656368287, 126.920340284858 37.5563685550245, 126.920547029204 37.5561817409659, 126.920790369525 37.5561661399375, 126.920931790553 37.5562090334733, 126.921208981643 37.5562880587623, 126.921395593251 37.556405314224, 126.921613088265 37.5567478381521, 126.921726073379 37.556925860254, 126.92192678643 37.5570881739522, 126.922226531094 37.5572483012511, 126.922500750825 37.5574669751829, 126.922950036034 37.5580281416135, 126.923218460743 37.5583819587035, 126.923062743387 37.558476459616, 126.922814063497 37.5581812197553, 126.922500359093 37.5578386338892, 126.922302524546 37.5576267685839, 126.922087349648 37.5577595205251, 126.921682474254 37.5580137780252, 126.921453539786 37.5577816180033, 126.921068320548 37.5581732878809, 126.921054183136 37.5581642683512, 126.920822335889 37.5580109418762, 126.920440643215 37.5577538983144, 126.920087237285 37.5575058829002, 126.919875194852 37.5573570731403, 126.919354089207 37.5578117129761, 126.919009162396 37.5575749626216, 126.918989448392 37.5574916071601)))"|"202405"
9146|"홍대입구역_3"|11440|"마포구"|131816.88|610.670000000013|131206.21|873.48|768.41|726.33|757.08|745.54|714.04|727.68|748.91|820.21|856.76|863.01|884.37|893.63|922.66|930.57|915.64|915.91|921.63|915.52|947.01|996.43|1075.25|1116.35|986.51|814.09|869.36|764.88|723.07|753.65|742.17|710.84|724.4|745.51|816.49|852.99|859.25|880.43|889.67|918.44|926.17|911.4|911.58|917.23|911.15|942.39|991.36|1069.59|1110.3|981.38|810.25|"MULTIPOLYGON (((126.920849965031 37.5559994971365, 126.920841477028 37.5559994913476, 126.920821717754 37.5559566807642, 126.921147395269 37.5556730901073, 126.921639320516 37.5560270625683, 126.921967260519 37.5562750562747, 126.922312162164 37.5565388277726, 126.922618054871 37.5562326950452, 126.92316087445 37.5566294921746, 126.92339835748 37.556805342605, 126.923904422066 37.5571840921723, 126.924370926621 37.5575177641822, 126.924792169473 37.5578469000268, 126.925264334081 37.558187329579, 126.925510294718 37.5583834534889, 126.925195841042 37.5587639198573, 126.924932843565 37.5586263487111, 126.92488480075 37.5585700056414, 126.924814134093 37.5585023854927, 126.924766026878 37.5585091117244, 126.924695388083 37.5584144617821, 126.924508907427 37.558159810474, 126.924401510092 37.5580426116306, 126.924328031193 37.5579592220024, 126.924127031571 37.5580672096404, 126.923733446399 37.5583530162454, 126.923538227893 37.5583416253232, 126.923410969566 37.5582784719696, 126.923306429047 37.5581364967568, 126.923125598492 37.5578953618609, 126.922842988815 37.5575798272347, 126.922687571088 37.557390515556, 126.922399239853 37.5571380454357, 126.922088196867 37.5569598911553, 126.921890294034 37.556815599451, 126.921797080671 37.5566691255353, 126.921562640192 37.5562973082602, 126.921367571872 37.5561507651015, 126.920849965031 37.5559994971365)))"|"202405"
9147|"홍익대학교"|11440|"마포구"|1140714.58|172850.09|967864.49|4343.1|4667.86|4380.08|4018.27|3807.83|3680.59|3373.35|3141.02|2927.73|2804.34|2702.27|2840.19|3275.03|3852.71|4197.15|4321.81|4406|4548.94|4840.39|5377.82|6024.9|6638.19|6721.59|6101.4|5577.24|3854.88|4128.98|3866.03|3534.21|3343.41|3228.2|2959.53|2751.97|2562.79|2454.35|2367.83|2497.68|2893.98|3424.01|3738.53|3859.49|3937.12|4068.06|4319.34|4802.04|5395.27|5954.44|6025.23|5456.73|4947.97|"MULTIPOLYGON (((126.925081046599 37.5575745371267, 126.925081042006 37.557579042081, 126.924343140484 37.5570244532084, 126.923904925736 37.5566975570636, 126.922963480197 37.5559986671032, 126.922095564143 37.5553471210222, 126.921247448904 37.5547136017722, 126.920484147974 37.5541522138595, 126.919757619006 37.5536088662278, 126.919096118247 37.553115113977, 126.918725800674 37.5528332953138, 126.917903177535 37.552224546925, 126.917284118594 37.5517488342592, 126.916382394971 37.5510589295005, 126.91565594387 37.5504997890612, 126.914805132422 37.5498459487768, 126.914293479127 37.5494896804776, 126.913903388773 37.5492123369141, 126.913852568095 37.5491244524702, 126.913878153506 37.5490186047888, 126.913963130816 37.5489285684528, 126.914192356038 37.5488679209063, 126.914868658585 37.548733269381, 126.915876042945 37.5485245222576, 126.916908900886 37.5483000173792, 126.917689895546 37.5481406472137, 126.918301090034 37.5480307071513, 126.918878254952 37.5479928195855, 126.919800575696 37.547941653247, 126.920782292651 37.5479017826675, 126.921283088487 37.5478480638225, 126.922148760985 37.5478576577272, 126.922759835476 37.5478535611671, 126.922855953862 37.5479189471065, 126.922872540647 37.5482883652235, 126.922905828038 37.5489190823247, 126.922908413909 37.5491510896781, 126.923547930192 37.5490118590281, 126.924065731491 37.5489333622993, 126.924181274949 37.5493681668891, 126.924141428397 37.5496001464529, 126.924090214027 37.5498816731495, 126.924140624253 37.5503795045416, 126.924193924671 37.550818773248, 126.9241793074 37.5512760173646, 126.924116733499 37.5515980812222, 126.924023028762 37.5519291345631, 126.924039785077 37.5521408787302, 126.924460910603 37.5525533577481, 126.925153609179 37.5530020505384, 126.92496666212 37.5532159153492, 126.925269288884 37.5533152199223, 126.925504065 37.5533649255753, 126.925900189706 37.5533336447134, 126.925914095145 37.5535724165066, 126.925911036517 37.5537999150476, 126.925993091616 37.5537932100199, 126.926426012173 37.5537484360011, 126.926459931603 37.5537799922479, 126.926465495416 37.5538745999423, 126.926479125504 37.5543904265066, 126.926473237018 37.5546201757161, 126.927002601606 37.5543299404238, 126.927067668144 37.5543367388281, 126.92725134996 37.5545598497852, 126.927647007628 37.5550083409681, 126.927923960425 37.5553328706372, 126.927923927265 37.5553666578098, 126.927354899385 37.5557064268698, 126.927569688073 37.5559498290915, 126.927846646226 37.5562721064156, 126.928007726778 37.5564681722999, 126.928058445482 37.5566821893157, 126.927186562527 37.5571253830735, 126.926747777684 37.5573571118812, 126.926662927587 37.5573255235202, 126.926830038551 37.5571476833152, 126.926606580694 37.5570844726197, 126.926103101352 37.5569354891242, 126.92601217135 37.557322857483, 126.925081046599 37.5575745371267)))"|"202405"
9148|"서대문역_1"|11110|"종로구"|24520.04|1072.49|23447.55|8.33|7.57|6.71|6.7|10.15|10.97|5.7|5.53|3.67|3.01|3|2.4|2.21|2.63|2.8|3.52|4.87|17.52|22.19|15.36|16.03|16.23|13.78|8.31|9.03|7.96|7.24|6.42|6.4|9.71|10.49|5.45|5.29|3.51|2.88|2.87|2.3|2.11|2.51|2.68|3.37|4.66|16.75|21.22|14.69|15.32|15.52|13.17|7.94|8.64|"MULTIPOLYGON (((126.964186310044 37.5686034361487, 126.964189145456 37.5685921746676, 126.964772408696 37.5679346342403, 126.965310343122 37.5673649235562, 126.965624606494 37.567031652776, 126.965870924415 37.566759177568, 126.966074761597 37.5665565158845, 126.966264457491 37.566335829832, 126.966360674549 37.5663223435501, 126.96658422612 37.5663156522052, 126.966813433983 37.5663157195199, 126.966960551796 37.5663765793352, 126.967090664623 37.5664959983969, 126.96707929406 37.5666086188754, 126.96691227105 37.5667572336304, 126.966714141007 37.5668607895081, 126.966201851904 37.5670836330805, 126.965887644308 37.5673042816466, 126.965587542775 37.5676105277025, 126.965210949597 37.5680924426289, 126.964941988639 37.5683604044624, 126.964469216908 37.5687544407279, 126.964186310044 37.5686034361487)))"|"202405"
9149|"서대문역_2"|11410|"서대문구"|106528.42|6897.49000000001|99630.93|78.89|100.25|103.47|102.46|93.06|90.29|102.67|102.54|105.52|99.94|87|74.22|63.41|57.78|49.59|44.86|47.65|47.19|54.39|67.84|64.51|71.36|82.14|92.32|88.89|76.6|97.26|100.47|99.58|90.38|87.75|99.8|99.52|102.41|97.01|84.51|72.09|61.6|56.19|48.23|43.44|46.29|45.99|52.87|65.74|62.48|69.16|79.63|89.74|86.23|"MULTIPOLYGON (((126.96416724636 37.5671055342027, 126.964172906993 37.567103283511, 126.964365498689 37.5667632202428, 126.964504291556 37.5664884616463, 126.964592139534 37.5662317068196, 126.964597878704 37.5660695303532, 126.964716709173 37.566105606919, 126.965208986584 37.5662994716446, 126.965421324285 37.5660742889191, 126.965458093311 37.5661103397222, 126.965715784537 37.5657184870311, 126.965823375372 37.5655878758705, 126.965311262804 37.5654570769562, 126.964790614498 37.5654253821196, 126.964527437522 37.5654568349466, 126.964510539268 37.5652946513965, 126.9644455276 37.5651504726101, 126.964722874008 37.56507397484, 126.964830607576 37.5646527951754, 126.964825064887 37.5644140309644, 126.965142000396 37.564384846453, 126.96535985445 37.5644457299674, 126.965521044453 37.5646552593259, 126.965863487235 37.5645427389965, 126.966568064098 37.5645609686103, 126.96701230939 37.5645858759725, 126.96728677935 37.5646017228655, 126.967385737701 37.5647774445467, 126.967128068775 37.5651467761926, 126.966442985886 37.5657885311664, 126.966236361224 37.5659078510772, 126.965857001335 37.5662839010253, 126.965420990878 37.5667680513187, 126.964984983541 37.5672341801593, 126.96416724636 37.5671055342027)))"|"202405"
9150|"신촌역_2"|11410|"서대문구"|509391.26|31676.15|477715.11|630.23|666.19|626.2|615.46|617.09|608.69|616.73|617.61|619|620.41|621.74|622.89|632.76|646.46|626.76|584.64|543.68|534.89|542.05|588.02|677.75|729.89|736.13|723.59|706.82|580.74|611.74|576.17|567.43|569.19|561.3|568.94|570.22|572.77|576.6|578.85|580.8|587.3|599.74|581.09|542.28|505.27|495.95|500.21|538.56|616.48|664.37|668.87|660.24|643.51|"MULTIPOLYGON (((126.940296116114 37.5593177964096, 126.938544681711 37.5593146249407, 126.93736763762 37.5593004778707, 126.936507509082 37.5592684737735, 126.935995412451 37.5592276467213, 126.934586457329 37.5590984668984, 126.934600662881 37.559033153065, 126.934453587891 37.558970000408, 126.934032123871 37.5588323596074, 126.933771931175 37.5587038196583, 126.933610808267 37.5585325389426, 126.933446952772 37.5582553899418, 126.934763064371 37.557771856859, 126.93498379771 37.5577269316044, 126.934574254463 37.5569203131825, 126.933006285521 37.5574645156007, 126.932904804613 37.5570522531631, 126.932854209977 37.5566873222117, 126.934688220096 37.5560329008, 126.936052386927 37.5555448753167, 126.936558988979 37.5553672086012, 126.936742913672 37.5553447846222, 126.93706264125 37.5553269393601, 126.937351203882 37.5553586308907, 126.939911038646 37.5562024184601, 126.939474682623 37.5569725384015, 126.939233628602 37.5576436505058, 126.939177031289 37.5576548831001, 126.938808949663 37.5579655306998, 126.939609191104 37.5585493439686, 126.939339958128 37.5590762827587, 126.939433289017 37.5591258862781, 126.939574748678 37.5591417277503, 126.940293422712 37.5591511116295, 126.940296116114 37.5593177964096)))"|"202405"
9151|"이대역"|11410|"서대문구"|268349.02|32987.68|235361.34|248.9|268.43|280.66|287.86|294.48|292.08|290.04|285.33|286.23|303.41|284.45|273.39|275.16|276.03|257.31|236.8|212.28|192.75|185.03|172.94|169.09|175.21|197.35|230.67|246.52|213.3|228.4|238.41|244.45|249.96|247.88|246.29|242.95|243.86|257.29|241.94|234.75|238.52|238.58|221.91|206.36|185.43|168.2|160.6|149.7|145.43|150.93|169.75|197.71|209.93|"MULTIPOLYGON (((126.943428057406 37.5596707615815, 126.943433719843 37.5596662594042, 126.943445491121 37.5590806208536, 126.943261625711 37.5590174611109, 126.942896630216 37.5590127759495, 126.942899540633 37.5589091633877, 126.942902683371 37.558508223784, 126.942911513059 37.5580712473103, 126.94293163912 37.5576613061413, 126.942931913542 37.5573099195695, 126.942946359438 37.5569270052827, 126.943127565392 37.5567649163122, 126.943849023929 37.556803562148, 126.944530866938 37.5568489419481, 126.945320231885 37.5568876114657, 126.945795547531 37.5569126134251, 126.945775591326 37.5571153271492, 126.94573298318 37.5573405549805, 126.946573258183 37.5574130272835, 126.946601528995 37.5574445751064, 126.94660430728 37.5575144032421, 126.946561513314 37.5579964138529, 126.946510199126 37.5585212175423, 126.946105582156 37.558532291234, 126.946091250287 37.5587823096356, 126.946501514278 37.5587892584458, 126.946470140868 37.5591293680946, 126.946277741304 37.5591247735159, 126.945898601156 37.5591155860769, 126.945618522175 37.5590658996302, 126.945658025484 37.5592123293662, 126.945635326069 37.559297912826, 126.94552749725 37.5597123178533, 126.944706964531 37.5596916546008, 126.944206156007 37.5596801507936, 126.943428057406 37.5596707615815)))"|"202405"
