"TRDAR_NO"|"TRDAR_NM"|"SIGNGU_CD"|"SIGNGU_NM"|"GRFA_SM"|"RSDNTL_BULD_GRFA"|"RSDNTL_BULD_EXCL_GRFA"|"MOAV_STPRD_FRNR_LVLH_POPNO"|"ZERO_TIZN_STPRD_FRNR_LVLH_POPNO"|"ONE_TIZN_STPRD_FRNR_LVLH_POPNO"|"TWO_TIZN_STPRD_FRNR_LVLH_POPNO"|"THREE_TIZN_STPRD_FRNR_LVLH_POPNO"|"FOUR_TIZN_STPRD_FRNR_LVLH_POPNO"|"FIVE_TIZN_STPRD_FRNR_LVLH_POPNO"|"SIX_TIZN_STPRD_FRNR_LVLH_POPNO"|"SEVEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"EIGHT_TIZN_STPRD_FRNR_LVLH_POPNO"|"NINE_TIZN_STPRD_FRNR_LVLH_POPNO"|"TEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"ELEVEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"TLV_TIZN_STPRD_FRNR_LVLH_POPNO"|"THIRTEEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"FOURTEEN_TIZN_STPRD_FRNR_LVLH_POPNO"|"FFTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"SXTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"SVNTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"EGHTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"NNTN_TIZN_STPRD_FRNR_LVLH_POPNO"|"TWNT_TIZN_STPRD_FRNR_LVLH_POPNO"|"TNONE_TIZN_STPRD_FRNR_LVLH_POPNO"|"TNTT_TIZN_STPRD_FRNR_LVLH_POPNO"|"TNTTH_TIZN_STPRD_FRNR_LVLH_POPNO"|"MOAV_STPRD_FRNR_VST_POPNO"|"ZERO_TIZN_STPRD_FRNR_VST_POPNO"|"ONE_TIZN_STPRD_FRNR_VST_POPNO"|"TWO_TIZN_STPRD_FRNR_VST_POPNO"|"THREE_TIZN_STPRD_FRNR_VST_POPNO"|"FOUR_TIZN_STPRD_FRNR_VST_POPNO"|"FIVE_TIZN_STPRD_FRNR_VST_POPNO"|"SIX_TIZN_STPRD_FRNR_VST_POPNO"|"SEVEN_TIZN_STPRD_FRNR_VST_POPNO"|"EIGHT_TIZN_STPRD_FRNR_VST_POPNO"|"NINE_TIZN_STPRD_FRNR_VST_POPNO"|"TEN_TIZN_STPRD_FRNR_VST_POPNO"|"ELEVEN_TIZN_STPRD_FRNR_VST_POPNO"|"TLV_TIZN_STPRD_FRNR_VST_POPNO"|"THIRTEEN_TIZN_STPRD_FRNR_VST_POPNO"|"FOURTEEN_TIZN_STPRD_FRNR_VST_POPNO"|"FFTN_TIZN_STPRD_FRNR_VST_POPNO"|"SXTN_TIZN_STPRD_FRNR_VST_POPNO"|"SVNTN_TIZN_STPRD_FRNR_VST_POPNO"|"EGHTN_TIZN_STPRD_FRNR_VST_POPNO"|"NNTN_TIZN_STPRD_FRNR_VST_POPNO"|"TWNT_TIZN_STPRD_FRNR_VST_POPNO"|"TNONE_TIZN_STPRD_FRNR_VST_POPNO"|"TNTT_TIZN_STPRD_FRNR_VST_POPNO"|"TNTTH_TIZN_STPRD_FRNR_VST_POPNO"|"TRDAR_CRDT_CONT"|"DATA_STRD_YM"
9138|"공덕역_1"|11440|"마포구"|91537.53|0|91537.53|22.24|21.52|18.83|17.96|17.87|17.7|18.13|18.73|18.69|20.03|22.63|22.01|24.32|25.98|25.81|22.34|20.02|19.37|22.19|24.38|25.87|28.93|28.94|27.95|23.55|22.24|21.52|18.83|17.96|17.87|17.7|18.13|18.73|18.69|20.03|22.63|22.01|24.32|25.98|25.81|22.34|20.02|19.37|22.19|24.38|25.87|28.93|28.94|27.95|23.55|"MULTIPOLYGON (((126.951086855113 37.5437086852164, 126.951086859651 37.5437019277656, 126.950713806821 37.5431724344966, 126.950241844008 37.5425054956529, 126.950207939657 37.5424446638808, 126.950227784505 37.5423816029052, 126.950400362538 37.5423523952227, 126.951017089272 37.5422873377628, 126.951254723532 37.5422671664938, 126.951435680685 37.5423978872721, 126.95183424353 37.5428530570445, 126.951992499562 37.5430941391721, 126.952119834779 37.5430378802387, 126.952988555478 37.5426282871827, 126.95313554003 37.5428062936012, 126.95290067361 37.5429188216565, 126.952365867726 37.5431551117931, 126.951734853352 37.5434273988447, 126.951086855113 37.5437086852164)))"|"202409"
9139|"공덕역_2"|11440|"마포구"|115040.9|0|115040.9|24.07|7.41|5.74|6.33|4.86|4.76|7.41|10.6|30.47|39.46|41.55|37.82|35.23|31.65|31.23|29.5|26.23|28.18|31.41|33.74|32.42|31.29|30.41|28.64|11.35|24.07|7.41|5.74|6.33|4.86|4.76|7.41|10.6|30.47|39.46|41.55|37.82|35.23|31.65|31.23|29.5|26.23|28.18|31.41|33.74|32.42|31.29|30.41|28.64|11.35|"MULTIPOLYGON (((126.95321229004 37.5466265375676, 126.95321229149 37.546624285085, 126.952785495355 37.5460384646006, 126.952449149461 37.5455788191051, 126.952118467027 37.5451169224956, 126.95175669607 37.5446167196405, 126.951496678336 37.5442539601847, 126.951657999971 37.5441414040094, 126.952263318435 37.5442385141142, 126.952840343679 37.544344619426, 126.953513540189 37.544471033289, 126.953802059401 37.5445161995501, 126.95389534889 37.5446175988716, 126.95432230559 37.5449488848876, 126.954469317622 37.5450953548166, 126.954449509507 37.5451043568821, 126.953897932116 37.5450050271302, 126.953917656031 37.545128921664, 126.953583737893 37.5452932183084, 126.953198884367 37.5454777655872, 126.952958351771 37.5455902913922, 126.953190132255 37.5458899664965, 126.953571703051 37.5464194551548, 126.953549032408 37.546480263022, 126.95321229004 37.5466265375676)))"|"202409"
9140|"디지털미디어시티"|11440|"마포구"|1298435.85|0|1298435.85|55.79|30.58|29.81|29.56|27.12|23.44|26.58|39.14|49.85|63.51|75.98|82.75|85.22|85.25|88.93|89.24|83.04|77.62|65.69|57.73|51.75|48.38|48.24|43.96|35.6|55.79|30.58|29.81|29.56|27.12|23.44|26.58|39.14|49.85|63.51|75.98|82.75|85.22|85.25|88.93|89.24|83.04|77.62|65.69|57.73|51.75|48.38|48.24|43.96|35.6|"MULTIPOLYGON (((126.887123962571 37.5834487598235, 126.886559600111 37.582879181081, 126.886353313886 37.5826649957641, 126.885949159448 37.5822861865679, 126.885618516995 37.5819592548544, 126.885304817276 37.5816593684842, 126.885282409189 37.5815084310382, 126.885514713391 37.5813667537259, 126.886568550105 37.5807370919913, 126.887177604582 37.5803795401341, 126.887718679535 37.5800534542514, 126.888551501296 37.5795699721839, 126.889449481186 37.5790369916523, 126.890251135024 37.5785624778216, 126.890789343272 37.5782431324587, 126.891401190748 37.5778833087786, 126.891865749284 37.5776021818306, 126.892219836864 37.5773840201219, 126.892449022503 37.5774225238111, 126.892497075891 37.5774631126095, 126.893189444432 37.5781665199089, 126.893613385738 37.5785723522958, 126.894037312244 37.5789916979414, 126.893538761419 37.5792930745513, 126.89330926999 37.5794617999306, 126.893116720479 37.5795269451335, 126.893272138458 37.5796960227872, 126.893255137545 37.5797095220358, 126.892722563527 37.5800469035039, 126.892399604097 37.5802605904155, 126.892659600627 37.5805266215319, 126.892642389776 37.5806842785345, 126.891857614315 37.5812241456925, 126.891316555513 37.5815457455651, 126.89059999946 37.5818761882582, 126.889787135491 37.5822538374225, 126.889251846003 37.5824920918824, 126.888603244258 37.5827933048252, 126.887801674849 37.5831754559714, 126.887123962571 37.5834487598235)), ((126.887123962571 37.5834487598235, 126.887124798941 37.5834496039241, 126.887116304389 37.5834518481706, 126.887123962571 37.5834487598235)))"|"202409"
9141|"마포역_1"|11440|"마포구"|216011.83|38907.18|177104.65|267.05|204.72|175.76|182.03|177.98|179.76|186.31|220.84|307.61|330.25|340.12|324.22|315.67|308.2|291.41|256.31|236.14|237.55|254.13|310|326.29|348.94|365.28|330.64|199.13|239.1|184.7|159.85|165.93|162.26|163.84|169.7|200.43|278.87|298.55|305.49|290.31|280.89|274.81|260.29|228.13|209.94|211.37|225.79|275.09|289.02|308.11|323.07|294.04|178.01|"MULTIPOLYGON (((126.949848889864 37.5421381698383, 126.949837574616 37.5421381649007, 126.949215582739 37.5416400926509, 126.948740597237 37.5412817367778, 126.948206234586 37.5408918174617, 126.947654905 37.5405018879865, 126.947315633864 37.5402539597656, 126.946507026634 37.539690465441, 126.945998140317 37.539307305326, 126.945480758006 37.538944411348, 126.944974692028 37.5385860254596, 126.944595850755 37.5383200505552, 126.944912853434 37.5380656715895, 126.945175788465 37.5382392384519, 126.945639919125 37.5379308677797, 126.9460017885 37.5381990838826, 126.946154459901 37.5383027697373, 126.946227877517 37.5384762454831, 126.946601356337 37.53834802758, 126.946655082937 37.5383728298351, 126.946717065417 37.5387129839503, 126.946697244903 37.5387400046085, 126.94644547059 37.5387691700894, 126.946335180035 37.5387308264755, 126.946270047391 37.5388299054893, 126.946105920377 37.5389154232613, 126.946532798545 37.5392625051074, 126.946617690938 37.5392197472677, 126.94677319562 37.5393211811332, 126.946792917751 37.5394293095712, 126.947610440701 37.5393936448152, 126.947565492137 37.5389611470432, 126.947528997723 37.538573702801, 126.947588408035 37.5385624674433, 126.947953247898 37.5386459750325, 126.948162523804 37.5387113916123, 126.948400134729 37.538709245951, 126.948725434795 37.5387071389375, 126.948748127573 37.5386170496064, 126.948722382803 37.5390247381123, 126.948750492459 37.5392770290688, 126.948815336053 37.5395856485075, 126.948767015266 37.5399167423941, 126.948815029335 37.5400226305986, 126.948650758283 37.5403131280115, 126.948500733109 37.5404572200074, 126.948862697603 37.5406218129504, 126.949397083641 37.5409801945309, 126.949727892614 37.5412078406771, 126.949725015672 37.541277666459, 126.949439165205 37.5414847697229, 126.950295857536 37.5421158391638, 126.950278846241 37.5421721439253, 126.949848889864 37.5421381698383)))"|"202409"
9142|"마포역_2"|11440|"마포구"|612827.82|146964.82|465863|471.43|578.81|623.3|618.39|623.4|617.69|612.66|571.43|495.39|471.53|451.03|481.51|536.32|554.25|515.32|396.84|305.55|269.78|283.09|308.17|337.43|326.67|349.37|416|569.45|434.24|523.14|562.09|557.45|561.89|556.6|552.48|516.42|450.8|432.39|418.15|454.05|511.66|527.61|489.12|376.51|288.7|254|265.02|288.51|313.72|303.34|321.92|380.51|515.65|"MULTIPOLYGON (((126.947814199015 37.5432207096313, 126.947805715679 37.5432162008146, 126.947254406899 37.5427767149682, 126.946923642757 37.5424882448886, 126.946969015255 37.5423350968414, 126.947249206776 37.54214376439, 126.947602986234 37.5418961526749, 126.947487079889 37.5417924855356, 126.946754866265 37.5411817256964, 126.946355823512 37.5414338187916, 126.946002043787 37.5416791743039, 126.945719356873 37.5414200056393, 126.945467689215 37.5412937475992, 126.945258457409 37.5411630042226, 126.944622254488 37.5408045550436, 126.944314080843 37.540592672921, 126.944073797108 37.5403830754332, 126.944034177422 37.5404055810569, 126.943516313214 37.5406688692612, 126.942794587407 37.5411708176606, 126.942375989027 37.5410940247775, 126.94226259452 37.5414025585297, 126.942237149697 37.54138452591, 126.941731158141 37.5409315219289, 126.941547434124 37.5407489776902, 126.941971989238 37.5404451064902, 126.942518243844 37.5400557000127, 126.94306166405 37.5396662895812, 126.943590915967 37.5393016470342, 126.943992809504 37.5390180297721, 126.9443522303 37.5387861978068, 126.944479449254 37.5388808635798, 126.94528237674 37.5394421166747, 126.946048552744 37.5399898321347, 126.946543318371 37.540348208094, 126.947029604095 37.5407043255725, 126.947637481496 37.5411303234614, 126.948118132747 37.5414684139687, 126.948692072158 37.541901148522, 126.949141619289 37.5422347159723, 126.949390420577 37.5424285394451, 126.949172513263 37.5425545824634, 126.948648994548 37.5428178905821, 126.947814199015 37.5432207096313)))"|"202409"
9143|"신촌역_1"|11440|"마포구"|213388.55|14197.13|199191.42|266.94|268.67|284.74|294.55|293.67|301.53|301.05|294.53|300.83|303.8|294.17|286.51|275.15|257.65|249.92|237.41|249.82|244.72|239.62|231.39|228.25|224.27|237.94|246.18|260.29|254.14|253.81|268|277.15|275.91|283.97|283.97|279.09|286.39|289.28|280.6|273.82|263.18|246.58|239.38|227.48|240.06|235.08|229.8|221.62|218.55|215.02|228.37|235.67|246.58|"MULTIPOLYGON (((126.936222504861 37.5551327655308, 126.932817731616 37.5563561866015, 126.932668437887 37.5556353064314, 126.93272793628 37.5555452418566, 126.934253437645 37.5549897564113, 126.933990690245 37.5545706455112, 126.933331240434 37.5548202926045, 126.933141977794 37.5544913213272, 126.934288219056 37.5540640069243, 126.933872754328 37.5535794869043, 126.934396412343 37.5533027300173, 126.934603081006 37.5531519308759, 126.936344977106 37.5541980538836, 126.937137098456 37.5542840817152, 126.937304950971 37.5532029823829, 126.938243861923 37.5536697515411, 126.939015989331 37.5539787516264, 126.938446399193 37.5550596398393, 126.939071496327 37.5552739568978, 126.938929799758 37.555550937044, 126.937716378527 37.5551313278794, 126.937416539834 37.5550523290581, 126.937088375918 37.555011606213, 126.936746026975 37.5550159242882, 126.936222504861 37.5551327655308)))"|"202409"
9144|"홍대입구역_1"|11440|"마포구"|108000.33|11351.28|96649.05|350.25|313.93|298.34|319.64|321.42|311.03|310.31|311.37|311.09|312.66|321.61|338.12|348.12|353.94|358.59|352.92|358.32|373.99|393.94|403.66|422.33|446.19|418.99|369.31|336.15|325.18|288.34|273.06|293.01|294.07|284.31|284.3|286.49|287.2|289.32|298.66|314.66|324.5|330.28|335.31|330.09|335.15|350.14|368.82|377.87|395.04|417.82|392.12|343.81|310.01|"MULTIPOLYGON (((126.917547497767 37.554037541561, 126.917550337118 37.554028533657, 126.918031777795 37.5536099131743, 126.918249834708 37.5534253635141, 126.917834281345 37.5531164804536, 126.918072164394 37.5529116728077, 126.918174006205 37.5529207545327, 126.918894856027 37.5534663604769, 126.919443284439 37.5538721887034, 126.919966274978 37.5542599769832, 126.920353575078 37.5545463083067, 126.920780461521 37.5548574426499, 126.921224300797 37.5551933642184, 126.921241204265 37.5552609500763, 126.920895709148 37.5555580423833, 126.920547386824 37.5558506267693, 126.920414384009 37.5558730604417, 126.92003538606 37.5557511660885, 126.919616781325 37.5556269906198, 126.9193735289 37.5555637525159, 126.919325442846 37.5555524567147, 126.919130450163 37.5553428404732, 126.919014758335 37.5550611998979, 126.918918842613 37.5548066027636, 126.918590871813 37.5546013976291, 126.918223308 37.5543826488233, 126.917889684949 37.5541751852678, 126.917547497767 37.554037541561)))"|"202409"
9145|"홍대입구역_2"|11440|"마포구"|71356.47|11298.19|60058.28|211.27|244.29|255.23|262.99|272.36|265.53|274.11|262.69|240.38|232.01|219.59|201.1|179.26|177.19|172.6|162.97|157.84|158.62|155.57|163.9|174.22|186.48|204.33|212.47|234.64|177.82|205.62|214.82|221.36|229.24|223.5|230.72|221.1|202.32|195.28|184.83|169.26|150.88|149.13|145.27|137.16|132.85|133.5|130.93|137.95|146.63|156.95|171.98|178.84|197.5|"MULTIPOLYGON (((126.918989448392 37.5574916071601, 126.918992275303 37.5574938616111, 126.91968892994 37.5569222160271, 126.91998346361 37.5566656368287, 126.920340284858 37.5563685550245, 126.920547029204 37.5561817409659, 126.920790369525 37.5561661399375, 126.920931790553 37.5562090334733, 126.921208981643 37.5562880587623, 126.921395593251 37.556405314224, 126.921613088265 37.5567478381521, 126.921726073379 37.556925860254, 126.92192678643 37.5570881739522, 126.922226531094 37.5572483012511, 126.922500750825 37.5574669751829, 126.922950036034 37.5580281416135, 126.923218460743 37.5583819587035, 126.923062743387 37.558476459616, 126.922814063497 37.5581812197553, 126.922500359093 37.5578386338892, 126.922302524546 37.5576267685839, 126.922087349648 37.5577595205251, 126.921682474254 37.5580137780252, 126.921453539786 37.5577816180033, 126.921068320548 37.5581732878809, 126.921054183136 37.5581642683512, 126.920822335889 37.5580109418762, 126.920440643215 37.5577538983144, 126.920087237285 37.5575058829002, 126.919875194852 37.5573570731403, 126.919354089207 37.5578117129761, 126.919009162396 37.5575749626216, 126.918989448392 37.5574916071601)))"|"202409"
9146|"홍대입구역_3"|11440|"마포구"|131816.88|610.670000000013|131206.21|620.86|519.93|492.12|517.82|513.98|491.06|499.74|518.07|545.45|546.26|558.03|589.47|615.22|651.57|672.47|659.47|674.97|682.73|717.36|722.28|765.48|845.86|821.06|710.85|569.45|617.85|517.45|489.81|515.38|511.56|488.78|497.4|515.65|542.88|543.78|555.53|586.74|612.38|648.5|669.22|656.3|671.72|679.45|713.87|718.74|761.57|841.39|816.63|707.09|566.65|"MULTIPOLYGON (((126.920849965031 37.5559994971365, 126.920841477028 37.5559994913476, 126.920821717754 37.5559566807642, 126.921147395269 37.5556730901073, 126.921639320516 37.5560270625683, 126.921967260519 37.5562750562747, 126.922312162164 37.5565388277726, 126.922618054871 37.5562326950452, 126.92316087445 37.5566294921746, 126.92339835748 37.556805342605, 126.923904422066 37.5571840921723, 126.924370926621 37.5575177641822, 126.924792169473 37.5578469000268, 126.925264334081 37.558187329579, 126.925510294718 37.5583834534889, 126.925195841042 37.5587639198573, 126.924932843565 37.5586263487111, 126.92488480075 37.5585700056414, 126.924814134093 37.5585023854927, 126.924766026878 37.5585091117244, 126.924695388083 37.5584144617821, 126.924508907427 37.558159810474, 126.924401510092 37.5580426116306, 126.924328031193 37.5579592220024, 126.924127031571 37.5580672096404, 126.923733446399 37.5583530162454, 126.923538227893 37.5583416253232, 126.923410969566 37.5582784719696, 126.923306429047 37.5581364967568, 126.923125598492 37.5578953618609, 126.922842988815 37.5575798272347, 126.922687571088 37.557390515556, 126.922399239853 37.5571380454357, 126.922088196867 37.5569598911553, 126.921890294034 37.556815599451, 126.921797080671 37.5566691255353, 126.921562640192 37.5562973082602, 126.921367571872 37.5561507651015, 126.920849965031 37.5559994971365)))"|"202409"
9147|"홍익대학교"|11440|"마포구"|1140849.22|173527.22|967322|3427.84|3663.93|3423.71|3130.74|2941.43|2831.58|2660.8|2475.97|2322.74|2263.08|2238.44|2295.62|2610.88|3162.1|3437.33|3518.15|3568.6|3719.12|3928.47|4315.59|4776.15|5096.83|5083.6|4539.27|4262.24|3036.34|3229.49|3012.47|2747.84|2574.71|2477|2323.78|2161.42|2027|1974.87|1955.08|2013.56|2304.19|2805.05|3058.76|3139.52|3188.81|3320.37|3509.02|3851.21|4271.97|4563.83|4548.74|4045.81|3767.54|"MULTIPOLYGON (((126.925081046599 37.5575745371267, 126.925081042006 37.557579042081, 126.924343140484 37.5570244532084, 126.923904925736 37.5566975570636, 126.922963480197 37.5559986671032, 126.922095564143 37.5553471210222, 126.921247448904 37.5547136017722, 126.920484147974 37.5541522138595, 126.919757619006 37.5536088662278, 126.919096118247 37.553115113977, 126.918725800674 37.5528332953138, 126.917903177535 37.552224546925, 126.917284118594 37.5517488342592, 126.916382394971 37.5510589295005, 126.91565594387 37.5504997890612, 126.914805132422 37.5498459487768, 126.914293479127 37.5494896804776, 126.913903388773 37.5492123369141, 126.913852568095 37.5491244524702, 126.913878153506 37.5490186047888, 126.913963130816 37.5489285684528, 126.914192356038 37.5488679209063, 126.914868658585 37.548733269381, 126.915876042945 37.5485245222576, 126.916908900886 37.5483000173792, 126.917689895546 37.5481406472137, 126.918301090034 37.5480307071513, 126.918878254952 37.5479928195855, 126.919800575696 37.547941653247, 126.920782292651 37.5479017826675, 126.921283088487 37.5478480638225, 126.922148760985 37.5478576577272, 126.922759835476 37.5478535611671, 126.922855953862 37.5479189471065, 126.922872540647 37.5482883652235, 126.922905828038 37.5489190823247, 126.922908413909 37.5491510896781, 126.923547930192 37.5490118590281, 126.924065731491 37.5489333622993, 126.924181274949 37.5493681668891, 126.924141428397 37.5496001464529, 126.924090214027 37.5498816731495, 126.924140624253 37.5503795045416, 126.924193924671 37.550818773248, 126.9241793074 37.5512760173646, 126.924116733499 37.5515980812222, 126.924023028762 37.5519291345631, 126.924039785077 37.5521408787302, 126.924460910603 37.5525533577481, 126.925153609179 37.5530020505384, 126.92496666212 37.5532159153492, 126.925269288884 37.5533152199223, 126.925504065 37.5533649255753, 126.925900189706 37.5533336447134, 126.925914095145 37.5535724165066, 126.925911036517 37.5537999150476, 126.925993091616 37.5537932100199, 126.926426012173 37.5537484360011, 126.926459931603 37.5537799922479, 126.926465495416 37.5538745999423, 126.926479125504 37.5543904265066, 126.926473237018 37.5546201757161, 126.927002601606 37.5543299404238, 126.927067668144 37.5543367388281, 126.92725134996 37.5545598497852, 126.927647007628 37.5550083409681, 126.927923960425 37.5553328706372, 126.927923927265 37.5553666578098, 126.927354899385 37.5557064268698, 126.927569688073 37.5559498290915, 126.927846646226 37.5562721064156, 126.928007726778 37.5564681722999, 126.928058445482 37.5566821893157, 126.927186562527 37.5571253830735, 126.926747777684 37.5573571118812, 126.926662927587 37.5573255235202, 126.926830038551 37.5571476833152, 126.926606580694 37.5570844726197, 126.926103101352 37.5569354891242, 126.92601217135 37.557322857483, 126.925081046599 37.5575745371267)))"|"202409"
